event_id,date,rep_id,start_time,planned_duration_min,actual_duration_min,account_id,segment_at_call,brand_id,brand_priority,outcome,scenario_id
0,2024-01-01,0,09:00,30,30,71,B,0,0.5000,completed,actual
1,2024-01-01,0,09:45,30,30,1062,C,1,0.5000,completed,actual
2,2024-01-01,0,10:30,45,45,1483,B,0,0.5000,completed,actual
3,2024-01-01,0,11:30,45,45,1941,B,1,0.5000,completed,actual
4,2024-01-01,0,12:30,30,30,574,A,0,0.5000,completed,actual
5,2024-01-01,0,13:15,30,30,1917,C,0,0.5000,completed,actual
6,2024-01-01,1,09:00,30,0,298,C,1,0.5000,no_show,actual
7,2024-01-01,1,09:45,45,45,635,C,0,0.5000,completed,actual
8,2024-01-01,1,10:45,30,30,616,C,0,0.5000,completed,actual
9,2024-01-01,1,11:30,30,30,1999,C,1,0.5000,completed,actual
10,2024-01-01,1,12:15,30,30,1338,C,0,0.5000,completed,actual
11,2024-01-01,1,13:00,60,60,1660,A,1,0.5000,completed,actual
12,2024-01-01,1,14:15,30,30,1645,C,1,0.5000,completed,actual
13,2024-01-01,1,15:00,75,75,692,B,1,0.5000,completed,actual
14,2024-01-01,2,09:00,30,30,495,B,0,0.5000,completed,actual
15,2024-01-01,2,09:45,30,30,931,B,1,0.5000,completed,actual
16,2024-01-01,2,10:30,45,45,1724,C,0,0.5000,completed,actual
17,2024-01-01,2,11:30,30,30,195,C,0,0.5000,completed,actual
18,2024-01-01,2,12:15,30,30,510,B,0,0.5000,completed,actual
19,2024-01-01,2,13:00,45,45,1869,B,1,0.5000,completed,actual
20,2024-01-01,3,09:00,30,30,1360,C,5,0.5000,completed,actual
21,2024-01-01,3,09:45,30,30,961,A,4,0.5000,completed,actual
22,2024-01-01,3,10:30,30,30,985,B,5,0.5000,completed,actual
23,2024-01-01,3,11:15,45,45,178,B,5,0.5000,completed,actual
24,2024-01-01,3,12:15,60,60,1566,A,4,0.5000,completed,actual
25,2024-01-01,3,13:30,30,30,570,C,5,0.5000,completed,actual
26,2024-01-01,3,14:15,45,45,866,C,5,0.5000,completed,actual
27,2024-01-01,4,09:00,60,60,1651,C,4,0.5000,completed,actual
28,2024-01-01,4,10:15,45,45,1350,C,4,0.5000,completed,actual
29,2024-01-01,4,11:15,45,22,1356,B,4,0.5000,abbreviated,actual
30,2024-01-01,4,12:15,45,45,192,C,5,0.5000,completed,actual
31,2024-01-01,4,13:15,45,45,1854,C,5,0.5000,completed,actual
32,2024-01-01,4,14:15,30,30,324,C,4,0.5000,completed,actual
33,2024-01-01,4,15:00,75,75,377,A,4,0.5000,completed,actual
34,2024-01-01,5,09:00,75,0,894,A,3,0.5000,no_show,actual
35,2024-01-01,5,10:30,60,60,455,C,3,0.5000,completed,actual
36,2024-01-01,5,11:45,75,75,1088,B,3,0.5000,completed,actual
37,2024-01-01,5,13:15,45,45,875,B,3,0.5000,completed,actual
38,2024-01-01,5,14:15,45,45,719,B,3,0.5000,completed,actual
39,2024-01-01,5,15:15,30,30,290,B,3,0.5000,completed,actual
40,2024-01-01,6,09:00,30,30,87,C,5,0.5000,completed,actual
41,2024-01-01,6,09:45,45,45,1394,C,4,0.5000,completed,actual
42,2024-01-01,6,10:45,60,60,1933,B,4,0.5000,completed,actual
43,2024-01-01,6,12:00,75,75,432,A,4,0.5000,completed,actual
44,2024-01-01,6,13:30,75,75,1133,B,4,0.5000,completed,actual
45,2024-01-01,6,15:00,30,30,676,B,4,0.5000,completed,actual
46,2024-01-01,7,09:00,30,0,803,C,4,0.5000,no_show,actual
47,2024-01-01,7,09:45,30,30,1394,C,4,0.5000,completed,actual
48,2024-01-01,7,10:30,45,45,951,C,4,0.5000,completed,actual
49,2024-01-01,7,11:30,45,22,1675,A,5,0.5000,abbreviated,actual
50,2024-01-01,8,09:00,45,45,1500,B,2,0.5000,completed,actual
51,2024-01-01,8,10:00,30,30,95,A,3,0.5000,completed,actual
52,2024-01-01,8,10:45,75,75,762,B,3,0.5000,completed,actual
53,2024-01-01,8,12:15,30,15,688,B,3,0.5000,abbreviated,actual
