trace_id,event_start_date,entity_type,entity_id,event_type,notice_days,duration_days,scenario_id
0,2024-01-03,account,0,unavailable,1,3,actual
1,2024-01-23,account,0,unavailable,1,2,actual
2,2024-02-02,account,0,unavailable,1,2,actual
3,2024-02-05,account,0,unavailable,1,1,actual
4,2024-02-08,account,0,unavailable,1,1,actual
5,2024-02-21,account,0,unavailable,1,1,actual
6,2024-03-13,account,0,unavailable,1,5,actual
7,2024-04-15,account,0,unavailable,1,2,actual
8,2024-04-27,account,0,unavailable,1,1,actual
9,2024-01-01,account,1,unavailable,1,1,actual
10,2024-01-12,account,1,unavailable,1,1,actual
11,2024-01-18,account,1,unavailable,1,1,actual
12,2024-01-20,account,1,unavailable,1,1,actual
13,2024-01-27,account,1,unavailable,1,3,actual
14,2024-02-27,account,1,unavailable,1,3,actual
15,2024-04-13,account,1,unavailable,1,1,actual
16,2024-04-17,account,1,unavailable,1,1,actual
17,2024-04-26,account,1,unavailable,1,1,actual
18,2024-01-11,account,2,unavailable,1,1,actual
19,2024-02-01,account,2,unavailable,1,2,actual
20,2024-03-09,account,2,unavailable,1,1,actual
21,2024-03-18,account,2,unavailable,1,1,actual
22,2024-04-02,account,2,unavailable,1,2,actual
23,2024-01-01,account,3,unavailable,1,4,actual
24,2024-01-11,account,3,unavailable,1,3,actual
25,2024-01-26,account,3,unavailable,1,1,actual
26,2024-01-28,account,3,unavailable,1,2,actual
27,2024-02-02,account,3,unavailable,1,2,actual
28,2024-02-05,account,3,unavailable,1,2,actual
29,2024-02-11,account,3,unavailable,1,2,actual
30,2024-02-18,account,3,unavailable,1,1,actual
31,2024-02-24,account,3,unavailable,1,1,actual
32,2024-02-27,account,3,unavailable,1,1,actual
33,2024-04-14,account,3,unavailable,1,4,actual
34,2024-01-05,account,4,unavailable,1,2,actual
35,2024-01-12,account,4,unavailable,1,1,actual
36,2024-01-26,account,4,unavailable,1,1,actual
37,2024-02-17,account,4,unavailable,1,1,actual
38,2024-02-24,account,4,unavailable,1,4,actual
39,2024-03-04,account,4,unavailable,1,4,actual
40,2024-03-17,account,4,unavailable,1,1,actual
41,2024-03-20,account,4,unavailable,1,4,actual
42,2024-04-03,account,4,unavailable,1,5,actual
43,2024-04-28,account,4,unavailable,1,2,actual
44,2024-01-04,account,5,unavailable,1,1,actual
45,2024-01-17,account,5,unavailable,1,1,actual
46,2024-02-28,account,5,unavailable,1,7,actual
47,2024-01-08,account,6,unavailable,1,1,actual
48,2024-01-18,account,6,unavailable,1,1,actual
49,2024-01-26,account,6,unavailable,1,1,actual
50,2024-01-30,account,6,unavailable,1,1,actual
51,2024-02-01,account,6,unavailable,1,2,actual
52,2024-02-22,account,6,unavailable,1,2,actual
53,2024-02-28,account,6,unavailable,1,1,actual
54,2024-03-04,account,6,unavailable,1,2,actual
55,2024-03-23,account,6,unavailable,1,1,actual
56,2024-04-10,account,6,unavailable,1,1,actual
57,2024-01-12,account,7,unavailable,1,1,actual
58,2024-01-20,account,7,unavailable,1,3,actual
59,2024-02-09,account,7,unavailable,1,3,actual
60,2024-02-17,account,7,unavailable,1,3,actual
61,2024-04-15,account,7,unavailable,1,1,actual
62,2024-04-28,account,7,unavailable,1,2,actual
63,2024-02-13,account,8,unavailable,1,6,actual
64,2024-03-05,account,8,unavailable,1,2,actual
65,2024-03-11,account,8,unavailable,1,1,actual
66,2024-03-28,account,8,unavailable,1,1,actual
67,2024-01-02,account,9,unavailable,1,2,actual
68,2024-01-24,account,9,unavailable,1,2,actual
69,2024-02-02,account,9,unavailable,1,1,actual
70,2024-02-05,account,9,unavailable,1,2,actual
71,2024-02-18,account,9,unavailable,1,1,actual
72,2024-03-05,account,9,unavailable,1,1,actual
73,2024-03-12,account,9,unavailable,1,2,actual
74,2024-01-01,account,10,unavailable,1,1,actual
75,2024-02-17,account,10,unavailable,1,2,actual
76,2024-03-01,account,10,unavailable,1,3,actual
77,2024-03-18,account,10,unavailable,1,4,actual
78,2024-04-11,account,10,unavailable,1,1,actual
79,2024-01-16,account,11,unavailable,1,4,actual
80,2024-01-25,account,11,unavailable,1,4,actual
81,2024-02-22,account,11,unavailable,1,1,actual
82,2024-03-28,account,11,unavailable,1,1,actual
83,2024-01-04,account,12,unavailable,1,2,actual
84,2024-01-07,account,12,unavailable,1,2,actual
85,2024-03-09,account,12,unavailable,1,1,actual
86,2024-03-12,account,12,unavailable,1,3,actual
87,2024-01-07,account,13,unavailable,1,2,actual
88,2024-02-04,account,13,unavailable,1,1,actual
89,2024-02-13,account,13,unavailable,1,1,actual
90,2024-03-12,account,13,unavailable,1,1,actual
91,2024-04-06,account,13,unavailable,1,2,actual
92,2024-04-16,account,13,unavailable,1,1,actual
93,2024-04-20,account,13,unavailable,1,1,actual
94,2024-04-23,account,13,unavailable,1,1,actual
95,2024-01-05,account,14,unavailable,1,1,actual
96,2024-01-16,account,14,unavailable,1,4,actual
97,2024-02-10,account,14,unavailable,1,2,actual
98,2024-02-27,account,14,unavailable,1,1,actual
99,2024-03-15,account,14,unavailable,1,2,actual
100,2024-03-18,account,14,unavailable,1,1,actual
101,2024-03-27,account,14,unavailable,1,1,actual
102,2024-04-04,account,14,unavailable,1,1,actual
103,2024-04-21,account,14,unavailable,1,1,actual
104,2024-04-26,account,14,unavailable,1,4,actual
105,2024-01-01,account,15,unavailable,1,1,actual
106,2024-01-21,account,15,unavailable,1,1,actual
107,2024-02-03,account,15,unavailable,1,2,actual
108,2024-02-07,account,15,unavailable,1,3,actual
109,2024-02-18,account,15,unavailable,1,3,actual
110,2024-03-17,account,15,unavailable,1,2,actual
111,2024-03-27,account,15,unavailable,1,2,actual
112,2024-03-31,account,15,unavailable,1,5,actual
113,2024-04-26,account,15,unavailable,1,1,actual
114,2024-02-20,account,16,unavailable,1,1,actual
115,2024-03-11,account,16,unavailable,1,1,actual
116,2024-03-13,account,16,unavailable,1,1,actual
117,2024-03-31,account,16,unavailable,1,2,actual
118,2024-04-22,account,16,unavailable,1,4,actual
119,2024-01-29,account,17,unavailable,1,1,actual
120,2024-03-28,account,17,unavailable,1,3,actual
121,2024-04-29,account,17,unavailable,1,1,actual
122,2024-01-22,account,18,unavailable,1,5,actual
123,2024-01-30,account,18,unavailable,1,2,actual
