algorithm,metric,seed,value
beam_tpp,sales_norm,42,-0.928704
beam_tpp,coverage,42,0.155101
beam_tpp,robustness,42,0.964637
constrained_tpp,sales_norm,42,-0.884116
constrained_tpp,coverage,42,0.162053
constrained_tpp,robustness,42,0.963842
markov,sales_norm,42,0.238786
markov,sales_norm,42,0.238786
markov,coverage,42,0.830522
markov,coverage,42,0.830522
markov,robustness,42,0.915889
markov,robustness,42,0.915889
neural_tpp,sales_norm,42,0.096269
neural_tpp,coverage,42,0.577804
neural_tpp,robustness,42,0.921334
prophet,sales_norm,42,-1.664936
prophet,coverage,42,0.041326
prophet,robustness,42,0.982418
